Task Name,Status,Priority,Start Date,Due Date,Tags,Description
Détail bon mobile,To Do,High,2026-07-11,2026-07-13,mobile;bons,"Vue détaillée avec actions selon statut. Bon en lecture seule pour le demandeur. Actions valider / décaisser pour les autres."
Signature électronique tactile,To Do,High,2026-07-12,2026-07-14,mobile;bons,"Canvas tactile avec react-native-signature-canvas. Conversion PNG base64. Envoi à l'API."
Génération PDF du bon (offline),To Do,Normal,2026-07-14,2026-07-16,mobile;pdf,"Téléchargement PDF depuis l'API et stockage local. Partage via expo-sharing."
Workflow validation - swipe + modal,To Do,High,2026-07-14,2026-07-16,mobile;validation,"Swipe gauche pour rejeter (avec commentaire), swipe droite pour valider. Confirmations bottom sheet."
Workflow décaissement caissier,To Do,High,2026-07-15,2026-07-17,mobile;caissier,"Liste bons VALIDE. Tap pour décaisser. Signature receveur intégrée."
Demandes de transfert mobile,To Do,Normal,2026-07-16,2026-07-18,mobile;financier,"Création + approbation + exécution depuis mobile. Formulaire compact."
Caisses & Portefeuilles - vue solde temps réel,To Do,Normal,2026-07-17,2026-07-19,mobile;financier,"Wallet cards swipe horizontal. Solde + mini stats. Tap pour détail."
Journal des opérations mobile,To Do,Normal,2026-07-18,2026-07-19,mobile;ui,"Liste verticale avec filtres compacts. Détail par tap. Export PDF possible."
Notifications push (Expo Push + FCM/APNs),To Do,High,2026-07-15,2026-07-19,mobile;notifications,"Setup expo-notifications. Token envoyé au backend. Notification au validateur sur bon CREE. Deep link vers le bon."
Mode offline + sync queue,To Do,Normal,2026-07-18,2026-07-21,mobile;offline,"Cache TanStack Query persisté AsyncStorage. File d'actions offline (création bon) qui se rejoue à la reconnexion."
Indicateur connexion réseau,To Do,Low,2026-07-19,2026-07-20,mobile;ux,"Bandeau orange si offline. Bouton retry. Status temps réel via NetInfo."
Écran Profil + paramètres,To Do,Normal,2026-07-19,2026-07-21,mobile;ui,"Avatar, infos utilisateur, déconnexion, toggle biométrie, version app, support."
Localisation FR + dark mode,To Do,Low,2026-07-20,2026-07-22,mobile;i18n,"Tout en français (déjà). Préparer dark mode via expo-system-ui (optionnel)."
Tests E2E mobile (Maestro ou Detox),To Do,Normal,2026-07-21,2026-07-25,mobile;tests,"Scénarios : login, création bon, validation, décaissement, transfert. Runs sur iOS simulator + Android emulator."
Backend - endpoint push tokens,To Do,High,2026-07-15,2026-07-17,backend;mobile,"Table sec_push_token (user_id, token, plateforme, last_used). Endpoint POST /push-tokens. Service d'envoi via Expo Push API."
Build iOS (TestFlight),To Do,Urgent,2026-07-22,2026-07-25,mobile;build,"EAS Build profile production iOS. Certificats Apple Developer. Upload App Store Connect. TestFlight pour testeurs internes."
Build Android (Play Console Internal),To Do,Urgent,2026-07-22,2026-07-25,mobile;build,"EAS Build profile production Android. Signing key. Upload Play Console - Internal Testing track."
Formation utilisateurs mobile,To Do,High,2026-07-25,2026-07-27,mobile;formation,"Démo en présentiel par persona. Installation TestFlight / Play. Workflow validation et décaissement nomade."
Recette mobile + correctifs,To Do,Urgent,2026-07-25,2026-07-27,mobile;test,"Recette par les utilisateurs métier. Liste bugs prioritaires. Correctifs avant déploiement public."
Déploiement stores (production),To Do,Urgent,2026-07-28,2026-07-28,mobile;deploy,"Soumission App Store + Play Store. Délai validation Apple 24-48h. Communication interne."
