Application,Task Name,Parent Task,Status,Start Date,Due Date,Notes
Gestion de Caisse (Mobile),eas init projectId + Firebase google-services.json + FCM V1,Mobile push (app fermee),blocked,,,Identifiants Firebase a obtenir
Station,Station - amelioration de l'interface,,to do,2026-07-21,2026-07-24,Mise a jour visant a ameliorer l'ergonomie / presentation
Station,Cadrer les ecrans / points d'interface a revoir,Station - amelioration de l'interface,to do,2026-07-21,2026-07-21,
Station,Realiser la mise a jour et la faire valider,Station - amelioration de l'interface,to do,2026-07-22,2026-07-24,
NpgReclamation,NpgReclamation - autocompletion des articles,,to do,2026-07-21,2026-07-24,Ajout de l'autocompletion (recherche assistee) des articles
NpgReclamation,Implementer le champ d'autocompletion (recherche + selection),NpgReclamation - autocompletion des articles,to do,2026-07-21,2026-07-23,
NpgReclamation,Tester avec le referentiel articles et valider,NpgReclamation - autocompletion des articles,to do,2026-07-23,2026-07-24,
Tags,Tags - script + interface,,in progress,2026-07-20,2026-07-23,Finalisation du script des Tags et de leur interface
Tags,Finaliser le script,Tags - script + interface,in progress,2026-07-20,2026-07-22,
Tags,Completer / relier l'interface et valider le rendu,Tags - script + interface,to do,2026-07-22,2026-07-23,
Ecrans de Section,Ecrans de Section - peaufinage interface,,to do,2026-07-22,2026-07-24,"Revoir et affiner l'interface (presentation, ergonomie, coherence)"
Ecrans de Section,Identifier les ecrans a retravailler et les points a ameliorer,Ecrans de Section - peaufinage interface,to do,2026-07-22,2026-07-22,
Ecrans de Section,Realiser le peaufinage et valider le rendu,Ecrans de Section - peaufinage interface,to do,2026-07-23,2026-07-24,
Situation Dossier,Situation Dossier - suivi des dossiers,,in progress,2026-07-20,2026-07-24,Application de suivi de la situation des dossiers
Situation Dossier,Poursuivre le developpement et valider les ecrans de suivi,Situation Dossier - suivi des dossiers,in progress,2026-07-20,2026-07-24,
Scripts de notification,Script de Notification Conteneur,,complete,2026-07-17,2026-07-17,En service ; alertes conteneurs
Scripts de notification,ALERTE - Conteneurs embarques sans LE dans SAP,Script de Notification Conteneur,complete,2026-07-17,2026-07-17,Nouveau - vient d'etre implemente
Scripts de notification,ALERTE - Conteneurs en retard de livraison,Script de Notification Conteneur,complete,2026-07-17,2026-07-17,Nouveau - vient d'etre implemente
Scripts de notification,ALERTE - Conteneurs en attente d'accord de depotage,Script de Notification Conteneur,complete,2026-07-17,2026-07-17,En service
Scripts de notification,ALERTE - Conteneurs en attente de depotage,Script de Notification Conteneur,complete,2026-07-17,2026-07-17,En service
Scripts de notification,ALERTE - Conteneurs payes et en attente,Script de Notification Conteneur,complete,2026-07-17,2026-07-17,En service
Scripts de notification,Rapport des dossiers avec conteneurs sans livraison,Script de Notification Conteneur,complete,2026-07-17,2026-07-17,En service
Scripts de notification,Script - Liste des OF interrompus,,complete,2026-07-17,2026-07-17,En service (ex. 9 OF)
Scripts de notification,Script - Nombre de palettes en retard,,complete,2026-07-17,2026-07-17,En service
Traitement des donnees de l'energie,Traitement des donnees de l'energie,,in progress,2026-07-20,2026-07-24,Collecte des donnees de consommation + rapports de suivi
Traitement des donnees de l'energie,Poursuivre le traitement et fiabiliser la collecte des donnees,Traitement des donnees de l'energie,in progress,2026-07-20,2026-07-23,
Traitement des donnees de l'energie,Finaliser les rapports de consommation et les faire valider,Traitement des donnees de l'energie,to do,2026-07-23,2026-07-24,
